MySQL [yse]> select objid, ptrobs_min, ptrobs_max, ra, decl from release_20180221 where ra=0;
+-----------------------------+------------+------------+------+------------+
| objid                       | ptrobs_min | ptrobs_max | ra   | decl       |
| DDF_01_NONIa-0001_202918    |     109124 |     109247 |    0 | -45.524532 |
| DDF_01_NONIa-0001_203558    |      43097 |      43200 |    0 | -45.524532 |
| DDF_01_NONIa-0001_205092    |       8251 |       8355 |    0 | -45.524532 |
| DDF_01_NONIa-0001_207964    |       9830 |       9909 |    0 | -45.524532 |
| DDF_01_NONIa-0001_207979    |      65589 |      65692 |    0 | -45.524532 |
| DDF_01_NONIa-0001_208490    |       4456 |       4576 |    0 | -45.524532 |
| DDF_01_NONIa-0001_208600    |      87790 |      87894 |    0 | -45.524532 |
| DDF_01_NONIa-0001_208903    |      75584 |      75666 |    0 | -45.524532 |
| DDF_01_NONIa-0001_210728    |      19833 |      19936 |    0 | -45.524532 |
| DDF_01_NONIa-0001_21108     |      22015 |      22094 |    0 | -45.524532 |
| DDF_01_NONIa-0001_211774    |      57064 |      57167 |    0 | -45.524532 |
| DDF_01_NONIa-0001_216070    |      89796 |      89900 |    0 | -45.524532 |
| DDF_01_NONIa-0001_218168    |      73853 |      73935 |    0 | -45.524532 |
| DDF_01_NONIa-0001_218506    |      76036 |      76140 |    0 | -45.524532 |
| DDF_01_NONIa-0001_219043    |      28042 |      28105 |    0 | -45.524532 |
| DDF_01_NONIa-0001_22001     |     100104 |     100167 |    0 | -45.524532 |
| DDF_01_NONIa-0001_220176    |      66855 |      66937 |    0 | -45.524532 |
| DDF_01_NONIa-0001_220215    |      67582 |      67645 |    0 | -45.524532 |
| DDF_01_NONIa-0001_222913    |       4734 |       4808 |    0 | -45.524532 |
| DDF_01_NONIa-0001_226185    |      42559 |      42652 |    0 | -45.524532 |
| DDF_01_NONIa-0001_227076    |      54455 |      54518 |    0 | -45.524532 |
| DDF_01_NONIa-0001_228231    |      52243 |      52336 |    0 | -45.524532 |
| DDF_01_NONIa-0001_228872    |      44702 |      44781 |    0 | -45.524532 |
| DDF_01_NONIa-0001_230993    |      62700 |      62774 |    0 | -45.524532 |
| DDF_01_NONIa-0001_231472    |      29067 |      29130 |    0 | -45.524532 |
| DDF_01_NONIa-0001_231617    |      15111 |      15231 |    0 | -45.524532 |
| DDF_01_NONIa-0001_232030    |      80088 |      80170 |    0 | -45.524532 |
| DDF_01_NONIa-0001_232088    |       3779 |       3842 |    0 | -45.524532 |
| DDF_01_NONIa-0001_232800    |      24883 |      24986 |    0 | -45.524532 |
| DDF_01_NONIa-0001_233443    |      18216 |      18309 |    0 | -45.524532 |
| DDF_01_NONIa-0001_23347     |      82517 |      82596 |    0 | -45.524532 |
| DDF_01_NONIa-0001_233846    |      45731 |      45851 |    0 | -45.524532 |
| DDF_01_NONIa-0001_236028    |     101086 |     101168 |    0 | -45.524532 |
| DDF_01_NONIa-0001_236626    |      82355 |      82448 |    0 | -45.524532 |
| DDF_01_NONIa-0001_236707    |      49010 |      49089 |    0 | -45.524532 |
| DDF_01_NONIa-0001_23683     |      38525 |      38607 |    0 | -45.524532 |
| DDF_01_NONIa-0001_239878    |      16927 |      17020 |    0 | -45.524532 |
| DDF_01_NONIa-0001_24093     |      96568 |      96642 |    0 | -45.524532 |
| DDF_01_NONIa-0001_24118     |      91897 |      91971 |    0 | -45.524532 |
| DDF_01_NONIa-0001_243110    |       8577 |       8670 |    0 | -45.524532 |
| DDF_01_NONIa-0001_24353     |      34714 |      34807 |    0 | -45.524532 |
| DDF_01_NONIa-0001_243696    |      82890 |      82953 |    0 | -45.524532 |
| DDF_01_NONIa-0001_244904    |      10937 |      11011 |    0 | -45.524532 |
| DDF_01_NONIa-0001_246552    |      66295 |      66377 |    0 | -45.524532 |
| DDF_01_NONIa-0001_246776    |      37426 |      37546 |    0 | -45.524532 |
| DDF_01_NONIa-0001_247398    |      44211 |      44331 |    0 | -45.524532 |
| DDF_01_NONIa-0001_247619    |      61347 |      61426 |    0 | -45.524532 |
| DDF_01_NONIa-0001_247640    |      50540 |      50622 |    0 | -45.524532 |
| DDF_01_NONIa-0001_247979    |       3975 |       4054 |    0 | -45.524532 |
| DDF_01_NONIa-0001_248619    |     107382 |     107464 |    0 | -45.524532 |
| DDF_01_NONIa-0001_251585    |       7349 |       7431 |    0 | -45.524532 |
| DDF_01_NONIa-0001_252869    |      27295 |      27388 |    0 | -45.524532 |
| DDF_01_NONIa-0001_253761    |      68021 |      68084 |    0 | -45.524532 |
| DDF_01_NONIa-0001_254139    |      34446 |      34525 |    0 | -45.524532 |
| DDF_01_NONIa-0001_256740    |      13847 |      13940 |    0 | -45.524532 |
| DDF_01_NONIa-0001_259512    |      78855 |      78929 |    0 | -45.524532 |
| DDF_01_NONIa-0001_262123    |     108244 |     108307 |    0 | -45.524532 |
| DDF_01_NONIa-0001_263971    |      36425 |      36528 |    0 | -45.524532 |
| DDF_01_NONIa-0001_265436    |      50944 |      51047 |    0 | -45.524532 |
| DDF_01_NONIa-0001_268168    |      55371 |      55450 |    0 | -45.524532 |
| DDF_01_NONIa-0001_269095    |      72134 |      72208 |    0 | -45.524532 |
| DDF_01_NONIa-0001_271219    |     108645 |     108708 |    0 | -45.524532 |
| DDF_01_NONIa-0001_272272    |      23002 |      23065 |    0 | -45.524532 |
| DDF_01_NONIa-0001_272543    |      39270 |      39333 |    0 | -45.524532 |
| DDF_01_NONIa-0001_272913    |       9992 |      10071 |    0 | -45.524532 |
| DDF_01_NONIa-0001_272978    |      10681 |      10763 |    0 | -45.524532 |
| DDF_01_NONIa-0001_274842    |       5814 |       5937 |    0 | -45.524532 |
| DDF_01_NONIa-0001_277411    |     109931 |     110034 |    0 | -45.524532 |
| DDF_01_NONIa-0001_279190    |      77343 |      77447 |    0 | -45.524532 |
| DDF_01_NONIa-0001_280437    |      73094 |      73173 |    0 | -45.524532 |
| DDF_01_NONIa-0001_280562    |      40013 |      40087 |    0 | -45.524532 |
| DDF_01_NONIa-0001_280742    |      18652 |      18715 |    0 | -45.524532 |
| DDF_01_NONIa-0001_281001    |      21550 |      21632 |    0 | -45.524532 |
| DDF_01_NONIa-0001_281159    |      80172 |      80246 |    0 | -45.524532 |
| DDF_01_NONIa-0001_281161    |      62939 |      63043 |    0 | -45.524532 |
| DDF_01_NONIa-0001_282398    |      82598 |      82661 |    0 | -45.524532 |
| DDF_01_NONIa-0001_284625    |     102915 |     103019 |    0 | -45.524532 |
| DDF_01_NONIa-0001_286066    |       6315 |       6389 |    0 | -45.524532 |
| DDF_01_NONIa-0001_286296    |      12032 |      12135 |    0 | -45.524532 |
| DDF_01_NONIa-0001_2884      |      68922 |      69015 |    0 | -45.524532 |
| DDF_01_NONIa-0001_288994    |      86456 |      86535 |    0 | -45.524532 |
| DDF_01_NONIa-0001_291456    |      96804 |      96908 |    0 | -45.524532 |
| DDF_01_NONIa-0001_29380     |     107597 |     107717 |    0 | -45.524532 |
| DDF_01_NONIa-0001_293912    |      17777 |      17840 |    0 | -45.524532 |
| DDF_01_NONIa-0001_294352    |      43689 |      43792 |    0 | -45.524532 |
| DDF_01_NONIa-0001_29449     |     105919 |     106001 |    0 | -45.524532 |
| DDF_01_NONIa-0001_298009    |     110835 |     110909 |    0 | -45.524532 |
| DDF_01_NONIa-0001_301662    |     100701 |     100794 |    0 | -45.524532 |
| DDF_01_NONIa-0001_303112    |       1711 |       1793 |    0 | -45.524532 |
| DDF_01_NONIa-0001_303206    |      29422 |      29496 |    0 | -45.524532 |
| DDF_01_NONIa-0001_305836    |      60753 |      60827 |    0 | -45.524532 |
| DDF_01_NONIa-0001_306165    |      72419 |      72498 |    0 | -45.524532 |
| DDF_01_NONIa-0001_307042    |     105400 |     105493 |    0 | -45.524532 |
| DDF_01_NONIa-0001_307069    |      21634 |      21738 |    0 | -45.524532 |
| DDF_01_NONIa-0001_307914    |      20869 |      20948 |    0 | -45.524532 |
| DDF_01_NONIa-0001_309221    |      50711 |      50804 |    0 | -45.524532 |
| DDF_01_NONIa-0001_310799    |      80858 |      80932 |    0 | -45.524532 |
| DDF_01_NONIa-0001_311047    |     106519 |     106598 |    0 | -45.524532 |
| DDF_01_NONIa-0001_311884    |      40466 |      40569 |    0 | -45.524532 |
| DDF_01_NONIa-0001_312302    |      11685 |      11767 |    0 | -45.524532 |
| DDF_01_NONIa-0001_312393    |      27142 |      27216 |    0 | -45.524532 |
| DDF_01_NONIa-0001_313421    |      84734 |      84816 |    0 | -45.524532 |
| DDF_01_NONIa-0001_314029    |       7168 |       7261 |    0 | -45.524532 |
| DDF_01_NONIa-0001_314200    |      14048 |      14151 |    0 | -45.524532 |
| DDF_01_NONIa-0001_314775    |      13477 |      13551 |    0 | -45.524532 |
| DDF_01_NONIa-0001_316422    |     112820 |     112913 |    0 | -45.524532 |
| DDF_01_NONIa-0001_316788    |       4253 |       4373 |    0 | -45.524532 |
| DDF_01_NONIa-0001_317780    |      67408 |      67511 |    0 | -45.524532 |
| DDF_01_NONIa-0001_318681    |      13618 |      13700 |    0 | -45.524532 |
| DDF_01_NONIa-0001_318692    |      79800 |      79863 |    0 | -45.524532 |
| DDF_01_NONIa-0001_318707    |       6563 |       6637 |    0 | -45.524532 |
| DDF_01_NONIa-0001_322271    |      73614 |      73688 |    0 | -45.524532 |
| DDF_01_NONIa-0001_328028    |      14920 |      15023 |    0 | -45.524532 |
| DDF_01_NONIa-0001_328760    |     103748 |     103830 |    0 | -45.524532 |
| DDF_01_NONIa-0001_329240    |      78774 |      78853 |    0 | -45.524532 |
| DDF_01_NONIa-0001_331579    |     107896 |     107975 |    0 | -45.524532 |
| DDF_01_NONIa-0001_332554    |      66131 |      66224 |    0 | -45.524532 |
| DDF_01_NONIa-0001_333077    |      20328 |      20407 |    0 | -45.524532 |
| DDF_01_NONIa-0001_337214    |      48503 |      48566 |    0 | -45.524532 |
| DDF_01_NONIa-0001_340783    |      55062 |      55136 |    0 | -45.524532 |
| DDF_01_NONIa-0001_340798    |        380 |        459 |    0 | -45.524532 |
| DDF_01_NONIa-0001_341619    |      39032 |      39106 |    0 | -45.524532 |
| DDF_01_NONIa-0001_342992    |     106171 |     106275 |    0 | -45.524532 |
| DDF_01_NONIa-0001_348426    |      49152 |      49234 |    0 | -45.524532 |
| DDF_01_NONIa-0001_349591    |      11431 |      11510 |    0 | -45.524532 |
| DDF_01_NONIa-0001_350156    |      30417 |      30510 |    0 | -45.524532 |
| DDF_01_NONIa-0001_354942    |      60829 |      60911 |    0 | -45.524532 |
| DDF_01_NONIa-0001_355324    |      68167 |      68246 |    0 | -45.524532 |
| DDF_01_NONIa-0001_355569    |      99207 |      99310 |    0 | -45.524532 |
| DDF_01_NONIa-0001_355916    |     105686 |     105768 |    0 | -45.524532 |
| DDF_01_NONIa-0001_356515    |      23915 |      23997 |    0 | -45.524532 |
| DDF_01_NONIa-0001_357889    |      26690 |      26769 |    0 | -45.524532 |
| DDF_01_NONIa-0001_359108    |     102568 |     102647 |    0 | -45.524532 |
| DDF_01_NONIa-0001_359655    |      97897 |      97976 |    0 | -45.524532 |
| DDF_01_NONIa-0001_360144    |      44887 |      44969 |    0 | -45.524532 |
| DDF_01_NONIa-0001_360802    |      33554 |      33628 |    0 | -45.524532 |
| DDF_01_NONIa-0001_37868     |      63167 |      63246 |    0 | -45.524532 |
| DDF_01_NONIa-0001_38437     |      51467 |      51546 |    0 | -45.524532 |
| DDF_01_NONIa-0001_41744     |      98126 |      98219 |    0 | -45.524532 |
| DDF_01_NONIa-0001_41856     |       4973 |       5047 |    0 | -45.524532 |
| DDF_01_NONIa-0001_42791     |     111825 |     111888 |    0 | -45.524532 |
| DDF_01_NONIa-0001_4540      |      35545 |      35619 |    0 | -45.524532 |
| DDF_01_NONIa-0001_45535     |      30512 |      30575 |    0 | -45.524532 |
| DDF_01_NONIa-0001_46934     |      49559 |      49652 |    0 | -45.524532 |
| DDF_01_NONIa-0001_5207      |      83186 |      83306 |    0 | -45.524532 |
| DDF_01_NONIa-0001_52475     |      74089 |      74171 |    0 | -45.524532 |
| DDF_01_NONIa-0001_53043     |      25938 |      26012 |    0 | -45.524532 |
| DDF_01_NONIa-0001_56588     |      70420 |      70502 |    0 | -45.524532 |
| DDF_01_NONIa-0001_58126     |      93544 |      93626 |    0 | -45.524532 |
| DDF_01_NONIa-0001_58500     |      67131 |      67234 |    0 | -45.524532 |
| DDF_01_NONIa-0001_59436     |      12772 |      12835 |    0 | -45.524532 |
| DDF_01_NONIa-0001_59445     |      90319 |      90412 |    0 | -45.524532 |
| DDF_01_NONIa-0001_61564     |      15905 |      15968 |    0 | -45.524532 |
| DDF_01_NONIa-0001_62939     |     113320 |     113399 |    0 | -45.524532 |
| DDF_01_NONIa-0001_63768     |      55290 |      55369 |    0 | -45.524532 |
| DDF_01_NONIa-0001_65387     |      45853 |      45935 |    0 | -45.524532 |
| DDF_01_NONIa-0001_65450     |     101733 |     101836 |    0 | -45.524532 |
| DDF_01_NONIa-0001_66469     |      65694 |      65768 |    0 | -45.524532 |
| DDF_01_NONIa-0001_69463     |      69552 |      69631 |    0 | -45.524532 |
| DDF_01_NONIa-0001_70632     |      58648 |      58741 |    0 | -45.524532 |
| DDF_01_NONIa-0001_7165      |      19375 |      19449 |    0 | -45.524532 |
| DDF_01_NONIa-0001_72301     |      41105 |      41198 |    0 | -45.524532 |
| DDF_01_NONIa-0001_73544     |      29563 |      29645 |    0 | -45.524532 |
| DDF_01_NONIa-0001_7508      |      72799 |      72878 |    0 | -45.524532 |
| DDF_01_NONIa-0001_80803     |      15737 |      15819 |    0 | -45.524532 |
| DDF_01_NONIa-0001_81994     |      58885 |      58988 |    0 | -45.524532 |
| DDF_01_NONIa-0001_84783     |       9911 |       9990 |    0 | -45.524532 |
| DDF_01_NONIa-0001_86597     |      85359 |      85462 |    0 | -45.524532 |
| DDF_01_NONIa-0001_87113     |     106353 |     106456 |    0 | -45.524532 |
| DDF_01_NONIa-0001_87733     |      25178 |      25241 |    0 | -45.524532 |
| DDF_01_NONIa-0001_88608     |      12223 |      12305 |    0 | -45.524532 |
| DDF_01_NONIa-0001_88612     |      29793 |      29856 |    0 | -45.524532 |
| DDF_01_NONIa-0001_88623     |      60997 |      61100 |    0 | -45.524532 |
| DDF_01_NONIa-0001_88897     |      12837 |      12940 |    0 | -45.524532 |
| DDF_01_NONIa-0001_89415     |      87071 |      87153 |    0 | -45.524532 |
| DDF_01_NONIa-0001_91456     |      64541 |      64634 |    0 | -45.524532 |
| DDF_01_NONIa-0001_91632     |      53003 |      53096 |    0 | -45.524532 |
| DDF_01_NONIa-0001_91731     |       5049 |       5152 |    0 | -45.524532 |
| DDF_01_NONIa-0001_91733     |      30795 |      30915 |    0 | -45.524532 |
| DDF_01_NONIa-0001_92319     |      74940 |      75022 |    0 | -45.524532 |
| DDF_01_NONIa-0001_92504     |       3265 |       3385 |    0 | -45.524532 |
| DDF_01_NONIa-0001_92551     |      93332 |      93406 |    0 | -45.524532 |
| DDF_01_NONIa-0001_9256      |      13702 |      13776 |    0 | -45.524532 |
| DDF_01_NONIa-0001_94221     |      77525 |      77607 |    0 | -45.524532 |
| DDF_01_NONIa-0001_95664     |      39412 |      39532 |    0 | -45.524532 |
| DDF_01_NONIa-0001_96189     |     104736 |     104818 |    0 | -45.524532 |
| DDF_01_NONIa-0001_96711     |     110572 |     110665 |    0 | -45.524532 |
| DDF_01_NONIa-0001_96959     |      79012 |      79086 |    0 | -45.524532 |
| DDF_01_NONIa-0001_9772      |      40317 |      40399 |    0 | -45.524532 |
| DDF_01_NONIa-0001_97929     |      13090 |      13164 |    0 | -45.524532 |
| DDF_01_NONIa-0001_98609     |      59509 |      59591 |    0 | -45.524532 |
| DDF_01_NONIa-0001_99493     |      21333 |      21412 |    0 | -45.524532 |
| DDF_01_NONIa-0001_99909     |      68764 |      68843 |    0 | -45.524532 |
| DDF_01_NONIa-0002_103843    |      26299 |      26373 |    0 | -45.524532 |
| DDF_01_NONIa-0002_104422    |       5097 |       5201 |    0 | -45.524532 |
| DDF_01_NONIa-0002_10488     |      65804 |      65886 |    0 | -45.524532 |
| DDF_01_NONIa-0002_105098    |     100879 |     100953 |    0 | -45.524532 |
| DDF_01_NONIa-0002_105488    |      15763 |      15856 |    0 | -45.524532 |
| DDF_01_NONIa-0002_106178    |      43216 |      43320 |    0 | -45.524532 |
| DDF_01_NONIa-0002_107609    |      66031 |      66113 |    0 | -45.524532 |
| DDF_01_NONIa-0002_109327    |       5411 |       5493 |    0 | -45.524532 |
| DDF_01_NONIa-0002_109585    |      24342 |      24446 |    0 | -45.524532 |
| DDF_01_NONIa-0002_111341    |      21308 |      21411 |    0 | -45.524532 |
| DDF_01_NONIa-0002_11651     |       6875 |       6978 |    0 | -45.524532 |
| DDF_01_NONIa-0002_117471    |      16446 |      16539 |    0 | -45.524532 |
| DDF_01_NONIa-0002_118446    |      23443 |      23536 |    0 | -45.524532 |
| DDF_01_NONIa-0002_119317    |     106174 |     106294 |    0 | -45.524532 |
| DDF_01_NONIa-0002_119464    |      15454 |      15547 |    0 | -45.524532 |
| DDF_01_NONIa-0002_121642    |      42714 |      42788 |    0 | -45.524532 |
| DDF_01_NONIa-0002_122872    |      18927 |      19001 |    0 | -45.524532 |
| DDF_01_NONIa-0002_123340    |       4792 |       4895 |    0 | -45.524532 |
| DDF_01_NONIa-0002_126718    |      63828 |      63891 |    0 | -45.524532 |
| DDF_01_NONIa-0002_126915    |      45269 |      45348 |    0 | -45.524532 |
| DDF_01_NONIa-0002_128864    |      40387 |      40507 |    0 | -45.524532 |
| DDF_01_NONIa-0002_128976    |      42548 |      42627 |    0 | -45.524532 |
| DDF_01_NONIa-0002_131904    |      38340 |      38422 |    0 | -45.524532 |
| DDF_01_NONIa-0002_133052    |      30185 |      30288 |    0 | -45.524532 |
| DDF_01_NONIa-0002_133626    |      63159 |      63262 |    0 | -45.524532 |
| DDF_01_NONIa-0002_134053    |     106749 |     106852 |    0 | -45.524532 |
| DDF_01_NONIa-0002_135138    |      55322 |      55385 |    0 | -45.524532 |
| DDF_01_NONIa-0002_135368    |      21104 |      21207 |    0 | -45.524532 |
| DDF_01_NONIa-0002_137801    |       3125 |       3228 |    0 | -45.524532 |
| DDF_01_NONIa-0002_138196    |      79698 |      79801 |    0 | -45.524532 |
| DDF_01_NONIa-0002_138538    |      13566 |      13659 |    0 | -45.524532 |
| DDF_01_NONIa-0002_139031    |     100224 |     100327 |    0 | -45.524532 |
| DDF_01_NONIa-0002_139648    |      90829 |      90932 |    0 | -45.524532 |
| DDF_01_NONIa-0002_142015    |      45692 |      45774 |    0 | -45.524532 |
| DDF_01_NONIa-0002_142821    |      82909 |      82988 |    0 | -45.524532 |
| DDF_01_NONIa-0002_143791    |     101518 |     101611 |    0 | -45.524532 |
| DDF_01_NONIa-0002_144009    |      25200 |      25320 |    0 | -45.524532 |
| DDF_01_NONIa-0002_145492    |       2365 |       2485 |    0 | -45.524532 |
| DDF_01_NONIa-0002_15123     |      90358 |      90437 |    0 | -45.524532 |
| DDF_01_NONIa-0002_153993    |     112220 |     112313 |    0 | -45.524532 |
| DDF_01_NONIa-0002_154148    |      51000 |      51082 |    0 | -45.524532 |
| DDF_01_NONIa-0002_157342    |      46497 |      46600 |    0 | -45.524532 |
| DDF_01_NONIa-0002_158658    |      46964 |      47027 |    0 | -45.524532 |
| DDF_01_NONIa-0002_159526    |      25676 |      25750 |    0 | -45.524532 |
| DDF_01_NONIa-0002_161232    |      26587 |      26650 |    0 | -45.524532 |
| DDF_01_NONIa-0002_161988    |      43034 |      43137 |    0 | -45.524532 |
| DDF_01_NONIa-0002_166957    |      98399 |      98462 |    0 | -45.524532 |
