                        objid   model   pb               l                b   cadence  
  WFD_01_NONIa-0017_114918189    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0017_203663747    SN1a    u   230.921576422   -8.85598158305    15.426  
    WFD_01_NONIa-0017_5351268    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0017_68100980    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0017_90507572    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0018_119111106    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0018_126600723    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0018_147383820    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0018_149197005    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0018_202443734    SN1a    u   230.921576422   -8.85598158305   27.9475  
    WFD_01_NONIa-0018_2241583    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0018_30024775    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0018_41662778    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0018_50511329    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0018_53144009    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0018_79453457    SN1a    u    230.15834411    9.34403843889    29.902  
    WFD_01_NONIa-0018_9977817    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0019_109737671    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0019_135533263    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0019_135662222    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0019_138605147    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0019_147224013    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0019_149143139    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0019_177316416    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0019_178766482    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0019_181543272    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0019_189679392    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0019_191397273    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0019_218703494    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0019_38691311    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0019_62394153    SN1a    u    230.15834411    9.34403843889    13.463  
    WFD_01_NONIa-0019_7069107    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0020_113006200    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0020_142435937    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0020_154715554    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0020_163701450    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0020_17036832    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0020_180939870    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0020_187418788    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0020_193461747    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0020_202708570    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0020_210188461    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0020_26717124    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0020_40436323    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0020_50381280    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0020_83039135    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0021_10037547    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0021_109363712    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0021_139697575    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0021_155233365    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0021_159940517    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0021_170674648    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0021_177460104    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0021_199174037    SN1a    u   230.921576422   -8.85598158305    15.426  
    WFD_01_NONIa-0021_2258832    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0021_25742268    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0021_57975906    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0021_60506456    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0021_88745780    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0022_103677489    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0022_140584475    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0022_149704915    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0022_200096900    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0022_217390231    SN1a    u    230.15834411    9.34403843889    29.902  
    WFD_01_NONIa-0022_3602319    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0022_83666103    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0023_122278264    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0023_125641125    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0023_140245708    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0023_141518870    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0023_150235519    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0023_175945463    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0023_18650736    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0023_190898444    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0023_193850682    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0023_197195909    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0023_212925880    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0023_32976308    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0023_54160742    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0024_105089731    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0024_113435990    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0024_169841844    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0024_183052325    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0024_183175155    SN1a    u    230.15834411    9.34403843889   41.8785  
  WFD_01_NONIa-0024_198741303    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0024_79306691    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0024_84877411    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0025_117951834    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0025_120794810    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0025_123733265    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0025_16972143    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0025_194378151    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0025_215580089    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0025_25470092    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0025_35120357    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0025_54370373    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0025_77908129    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0025_96399438    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0025_96494268    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0026_104374395    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0026_108114969    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0026_110884691    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0026_128015928    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0026_130822172    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0026_132632624    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0026_140115863    SN1a    u    230.15834411    9.34403843889    29.902  
    WFD_01_NONIa-0026_1748577    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0026_221280295    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0026_29756308    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0026_50250032    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0026_64886575    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0026_66489928    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0026_73264698    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0026_86669210    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0027_114788927    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0027_123932012    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0027_175561301    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0027_179734382    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0027_196833771    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0027_39167898    SN1a    u   230.921576422   -8.85598158305    15.426  
    WFD_01_NONIa-0027_4179962    SN1a    u    230.15834411    9.34403843889   41.8785  
   WFD_01_NONIa-0027_41869762    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0027_44872057    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0027_70410048    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0027_73967444    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0027_99640145    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0028_147076426    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0028_161985271    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0028_187207348    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0028_191703691    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0028_210976826    SN1a    u   230.921576422   -8.85598158305   27.9475  
